request_id,submitted_at,service_id,channel_id,district_id,department_id,priority,status,resolved_at,resolution_hours,satisfaction_score,citizen_age_band,sla_met
1000067,2024-02-13 17:44:00,12,1,103,1,Low,Open,,53.2,,18-24,
1000068,2024-04-05 11:49:00,16,1,105,4,Low,Resolved,2024-04-07 00:31:00,36.7,,25-34,1
1000069,2024-01-17 13:51:00,12,1,102,1,Low,Resolved,2024-01-18 02:15:00,12.4,5.0,25-34,1
1000070,2024-10-03 19:22:00,14,3,101,3,Low,Resolved,2024-10-19 13:28:00,378.1,5.0,25-34,0
1000071,2024-03-21 09:06:00,12,2,103,1,Low,Resolved,2024-03-23 09:24:00,48.3,2.0,25-34,0
1000072,2024-11-13 02:40:00,17,2,103,2,Medium,Reopened,2024-11-13 23:52:00,21.2,,35-44,1
1000073,2024-11-14 17:45:00,19,2,104,5,Medium,Resolved,2024-11-17 02:21:00,56.6,,35-44,1
1000074,2024-10-02 06:52:00,18,2,105,5,Low,Resolved,2024-10-06 02:52:00,92.0,1.0,45-54,0
1000075,2024-10-26 12:02:00,15,2,100,3,Low,Resolved,2024-10-29 20:26:00,80.4,2.0,35-44,1
1000076,2024-02-16 00:15:00,11,5,104,1,Medium,Resolved,2024-02-17 03:57:00,27.7,,45-54,1
1000077,2024-11-01 03:58:00,19,2,103,5,Medium,Resolved,2024-11-03 23:52:00,67.9,,25-34,1
1000078,2024-03-05 01:11:00,10,2,105,1,Low,Resolved,2024-03-06 14:41:00,37.5,,35-44,0
1000079,2024-10-30 19:54:00,12,1,104,1,Medium,Resolved,2024-10-31 08:18:00,12.4,3.0,45-54,1
1000080,2024-05-29 22:43:00,12,3,104,1,High,Resolved,2024-05-30 22:55:00,24.2,1.0,18-24,0
1000081,2024-08-14 20:29:00,16,2,101,4,Low,Resolved,2024-08-16 08:47:00,36.3,,45-54,1
1000082,2024-01-26 13:39:00,13,1,103,2,Medium,Open,,44.8,,18-24,
1000083,2024-05-20 01:53:00,10,5,102,1,Low,Open,,13.6,,55-64,
1000084,2024-11-07 13:11:00,10,1,101,1,Low,Resolved,2024-11-08 04:17:00,15.1,5.0,18-24,1
1000085,2025-01-07 22:16:00,15,3,100,3,Medium,Resolved,2025-01-12 20:22:00,118.1,,45-54,1
1000086,2024-05-22 13:58:00,13,2,103,2,Low,Resolved,2024-05-24 02:10:00,36.2,,35-44,1
1000087,2024-07-09 18:17:00,15,5,102,3,Low,Resolved,2024-07-16 04:59:00,154.7,5.0,35-44,0
1000088,2024-08-22 23:44:00,14,4,104,3,Low,Reopened,2024-09-08 18:44:00,403.0,3.0,25-34,0
1000089,2025-01-12 00:03:00,18,5,103,5,Medium,Reopened,2025-01-14 16:45:00,64.7,,55-64,1
1000090,2025-01-05 11:54:00,18,1,104,5,Medium,Resolved,2025-01-07 23:24:00,59.5,4.0,25-34,1
1000091,2025-01-11 20:13:00,11,3,104,1,High,Resolved,2025-01-12 21:13:00,25.0,,25-34,1
1000092,2025-01-07 11:46:00,19,5,101,5,Medium,Open,,35.3,,55-64,
1000093,2024-01-20 18:22:00,17,5,102,2,Medium,Resolved,2024-01-21 01:22:00,7.0,2.0,35-44,1
1000094,2024-08-11 04:31:00,15,3,100,3,Low,Resolved,2024-08-15 12:49:00,104.3,3.0,65+,1
1000095,2024-07-09 15:16:00,15,1,105,3,Medium,Resolved,2024-07-13 02:34:00,83.3,5.0,35-44,1
1000096,2024-01-07 03:36:00,14,2,100,3,Medium,Resolved,2024-01-12 19:00:00,135.4,3.0,45-54,1
1000097,2024-07-21 20:16:00,18,1,104,5,Medium,Resolved,2024-07-25 09:40:00,85.4,,25-34,0
1000098,2024-01-29 02:34:00,11,2,100,1,Medium,Resolved,2024-01-31 16:22:00,61.8,,35-44,0
1000099,2024-08-23 10:42:00,15,1,100,3,Low,Resolved,2024-08-27 22:24:00,107.7,2.0,35-44,1
1000100,2024-05-14 15:25:00,17,2,103,2,High,Resolved,2024-05-15 16:13:00,24.8,5.0,18-24,0
1000101,2024-02-04 05:11:00,10,2,103,1,Medium,Resolved,2024-02-05 02:29:00,21.3,1.0,35-44,1
1000102,2024-03-27 17:09:00,15,3,102,3,Medium,Resolved,2024-04-01 08:15:00,111.1,,55-64,1
1000103,2024-12-20 07:43:00,12,1,104,1,Medium,Resolved,2024-12-21 03:13:00,19.5,,35-44,1
1000104,2024-10-06 04:22:00,17,1,103,2,Low,Resolved,2024-10-07 01:28:00,21.1,,18-24,1
1000105,2024-03-25 14:34:00,10,1,103,1,Low,Open,,33.9,,18-24,
1000106,2024-03-18 07:02:00,15,1,101,3,High,Open,,30.5,,18-24,
1000107,2025-02-20 11:45:00,18,1,102,5,Low,Open,,36.3,,35-44,
1000108,2024-08-12 04:25:00,15,2,100,3,Medium,Resolved,2024-08-16 11:25:00,103.0,2.0,25-34,1
1000109,2024-10-05 20:50:00,12,2,101,1,High,Resolved,2024-10-06 20:56:00,24.1,4.0,45-54,0
1000110,2024-07-04 04:44:00,15,1,102,3,Low,Resolved,2024-07-09 11:02:00,126.3,5.0,45-54,0
1000111,2024-06-02 12:07:00,12,4,105,1,High,Resolved,2024-06-03 08:19:00,20.2,4.0,35-44,1
1000112,2024-05-13 13:38:00,16,3,103,4,Low,Resolved,2024-05-16 14:14:00,72.6,,45-54,0
1000113,2024-04-16 01:37:00,10,2,103,1,Medium,Resolved,2024-04-16 17:55:00,16.3,5.0,18-24,1
1000114,2024-07-23 05:50:00,11,1,101,1,Low,Resolved,2024-07-27 09:38:00,99.8,,25-34,0
1000115,2025-01-15 23:58:00,10,5,100,1,Low,Resolved,2025-01-16 19:22:00,19.4,2.0,35-44,1
1000116,2025-02-08 02:42:00,10,1,102,1,Low,Resolved,2025-02-08 14:30:00,11.8,5.0,35-44,1
1000117,2024-09-17 14:57:00,14,2,100,3,Low,Resolved,2024-10-02 04:15:00,349.3,3.0,18-24,0
1000118,2024-05-15 09:00:00,11,3,101,1,Low,Resolved,2024-05-20 06:36:00,117.6,1.0,18-24,0
1000119,2024-10-08 16:38:00,13,2,103,2,Low,Resolved,2024-10-11 22:08:00,77.5,3.0,35-44,0
1000120,2024-05-23 00:34:00,15,2,102,3,Medium,Resolved,2024-05-27 07:34:00,103.0,2.0,35-44,1
1000121,2024-01-29 01:24:00,18,2,104,5,Low,Resolved,2024-01-30 13:30:00,36.1,3.0,25-34,1
1000122,2025-01-24 12:21:00,12,1,105,1,Low,Resolved,2025-01-25 15:51:00,27.5,,35-44,0
1000123,2024-05-25 10:49:00,12,2,104,1,Low,Resolved,2024-05-26 04:37:00,17.8,,55-64,1
1000124,2024-01-28 19:06:00,12,2,105,1,Low,Resolved,2024-01-29 23:18:00,28.2,2.0,18-24,0
1000125,2024-09-20 10:32:00,10,1,105,1,Medium,Resolved,2024-09-21 19:20:00,32.8,,35-44,0
1000126,2025-02-08 11:18:00,16,1,104,4,Low,Resolved,2025-02-09 13:00:00,25.7,,35-44,1
1000127,2024-03-16 19:12:00,17,2,104,2,Low,Resolved,2024-03-17 20:42:00,25.5,2.0,18-24,0
1000128,2024-12-23 06:19:00,13,2,102,2,Low,Open,,59.4,,55-64,
1000129,2024-12-30 13:24:00,14,2,100,3,Medium,Reopened,2025-01-08 21:00:00,223.6,2.0,35-44,1
1000130,2025-02-11 23:49:00,19,2,101,5,Low,Resolved,2025-02-16 06:19:00,102.5,,55-64,0
1000131,2024-02-14 21:50:00,16,1,100,4,High,Resolved,2024-02-15 11:02:00,13.2,,55-64,1
1000132,2024-04-27 07:56:00,16,4,102,4,Medium,Open,,42.2,,45-54,
1000133,2024-07-05 18:50:00,18,1,105,5,Low,Resolved,2024-07-09 20:20:00,97.5,4.0,35-44,0
1000134,2024-08-30 18:14:00,11,4,100,1,Medium,Resolved,2024-08-31 11:56:00,17.7,4.0,35-44,1
1000135,2024-05-31 17:11:00,15,2,100,3,Low,Resolved,2024-06-05 21:05:00,123.9,3.0,18-24,0
1000136,2024-02-08 20:47:00,16,2,101,4,Medium,Resolved,2024-02-09 22:05:00,25.3,4.0,45-54,1
1000137,2025-02-23 04:32:00,18,5,100,5,Low,Open,,46.9,,45-54,
1000138,2024-01-26 06:26:00,12,5,101,1,Medium,Resolved,2024-01-26 23:44:00,17.3,5.0,18-24,1
1000139,2024-05-14 18:07:00,16,1,104,4,Low,Resolved,2024-05-15 15:19:00,21.2,2.0,35-44,1
1000140,2024-05-25 03:02:00,15,4,100,3,Low,Reopened,2024-06-05 12:08:00,273.1,2.0,35-44,0
1000141,2024-05-04 15:38:00,12,2,105,1,Medium,Resolved,2024-05-05 17:32:00,25.9,,25-34,0
1000142,2024-03-17 07:01:00,10,5,105,1,Medium,Resolved,2024-03-17 20:19:00,13.3,3.0,45-54,1
1000143,2024-02-07 11:56:00,12,3,105,1,High,Resolved,2024-02-08 09:20:00,21.4,,65+,1
1000144,2024-01-10 20:43:00,19,2,105,5,Low,Reopened,2024-01-13 10:31:00,61.8,1.0,25-34,1
1000145,2025-01-02 16:07:00,11,2,101,1,Medium,Resolved,2025-01-06 20:19:00,100.2,,55-64,0
1000146,2024-08-25 00:08:00,10,2,101,1,Medium,Resolved,2024-08-25 08:20:00,8.2,,25-34,1
1000147,2024-12-19 01:28:00,12,1,104,1,Low,Resolved,2024-12-19 22:34:00,21.1,,25-34,1
1000148,2024-12-01 10:20:00,10,1,105,1,Low,Resolved,2024-12-02 23:26:00,37.1,1.0,18-24,0
1000149,2024-02-15 13:57:00,11,4,103,1,Medium,Resolved,2024-02-22 04:57:00,159.0,4.0,45-54,0
1000150,2024-12-15 23:24:00,18,3,101,5,Medium,Reopened,2024-12-20 08:06:00,104.7,4.0,18-24,0
1000151,2024-01-31 21:16:00,12,4,105,1,High,Resolved,2024-02-01 12:10:00,14.9,,18-24,1
1000152,2024-01-28 23:11:00,14,3,103,3,Medium,Resolved,2024-02-02 10:53:00,107.7,3.0,35-44,1
1000153,2024-04-26 11:48:00,11,5,104,1,Low,Open,,67.0,,18-24,
1000154,2024-08-31 13:33:00,16,5,104,4,Low,Open,,135.3,,35-44,
1000155,2024-09-04 19:55:00,10,1,100,1,Medium,Reopened,2024-09-06 11:25:00,39.5,3.0,25-34,0
1000156,2024-06-17 11:28:00,17,2,104,2,Low,Resolved,2024-06-18 18:34:00,31.1,3.0,65+,0
1000157,2024-06-14 03:45:00,12,5,102,1,Low,Resolved,2024-06-15 03:21:00,23.6,4.0,35-44,1
1000158,2024-10-04 13:16:00,11,2,102,1,Low,Resolved,2024-10-06 14:16:00,49.0,,25-34,0
1000159,2025-01-10 16:59:00,17,4,104,2,Low,Resolved,2025-01-11 12:59:00,20.0,,55-64,1
1000160,2024-01-14 01:29:00,14,2,101,3,Low,Resolved,2024-01-22 13:23:00,203.9,4.0,18-24,1
1000161,2025-01-03 18:48:00,13,1,101,2,Medium,Resolved,2025-01-05 17:12:00,46.4,,35-44,1
1000162,2024-01-28 02:44:00,11,3,105,1,Low,Resolved,2024-01-30 15:32:00,60.8,1.0,18-24,0
1000163,2024-07-09 18:46:00,17,2,105,2,Low,Resolved,2024-07-10 23:04:00,28.3,,35-44,0
1000164,2024-09-20 09:19:00,12,3,101,1,Medium,Open,,31.9,,25-34,
1000165,2024-12-08 01:41:00,10,3,102,1,High,Resolved,2024-12-08 23:59:00,22.3,4.0,18-24,1
1000166,2024-04-18 20:52:00,19,1,105,5,Low,Resolved,2024-04-29 04:52:00,248.0,,25-34,0
1000167,2024-12-09 12:14:00,10,1,103,1,Medium,Resolved,2024-12-09 23:38:00,11.4,4.0,65+,1
1000168,2024-10-09 15:52:00,10,2,100,1,Medium,Resolved,2024-10-10 13:52:00,22.0,,18-24,1
1000169,2024-11-10 22:40:00,13,2,102,2,Low,Resolved,2024-11-13 10:58:00,60.3,,35-44,1
1000170,2024-02-04 18:38:00,11,1,103,1,Low,Resolved,2024-02-05 16:38:00,22.0,,18-24,1
1000171,2024-05-19 12:19:00,12,5,100,1,High,Resolved,2024-05-20 04:37:00,16.3,,25-34,1
1000172,2024-09-12 12:53:00,14,1,105,3,Medium,Resolved,2024-09-20 02:17:00,181.4,5.0,65+,1
1000173,2024-01-28 01:20:00,19,3,100,5,Low,Resolved,2024-01-31 06:44:00,77.4,1.0,18-24,1
1000174,2024-12-21 19:42:00,19,3,105,5,Medium,Resolved,2024-12-25 04:24:00,80.7,2.0,25-34,1
1000175,2025-01-16 05:25:00,10,5,104,1,Medium,Resolved,2025-01-16 13:43:00,8.3,,18-24,1
1000176,2025-01-21 09:42:00,18,1,105,5,Low,Reopened,2025-01-25 01:48:00,88.1,,18-24,0
1000177,2024-05-21 04:59:00,11,3,100,1,Medium,Resolved,2024-05-23 08:05:00,51.1,3.0,25-34,0
1000178,2024-09-20 19:31:00,17,5,102,2,Low,Resolved,2024-09-21 11:01:00,15.5,5.0,18-24,1
1000179,2025-01-06 16:54:00,12,1,102,1,Medium,Resolved,2025-01-08 02:54:00,34.0,5.0,35-44,0
1000180,2024-12-04 02:56:00,16,2,105,4,Medium,Resolved,2024-12-05 10:14:00,31.3,2.0,18-24,1
1000181,2024-05-10 08:06:00,16,2,103,4,Low,Resolved,2024-05-13 11:24:00,75.3,,25-34,0
1000182,2024-04-09 03:02:00,18,2,103,5,Low,Resolved,2024-04-13 02:14:00,95.2,,25-34,0
1000183,2024-11-20 02:49:00,19,1,102,5,Medium,Resolved,2024-11-21 08:19:00,29.5,,18-24,1
1000184,2024-04-08 05:42:00,11,1,102,1,Medium,Reopened,2024-04-09 23:42:00,42.0,3.0,35-44,1
1000185,2024-08-05 17:19:00,15,1,102,3,Low,Resolved,2024-08-11 01:31:00,128.2,,45-54,0
1000186,2024-11-25 02:53:00,16,4,104,4,Medium,Resolved,2024-11-28 02:59:00,72.1,,18-24,0
1000187,2024-01-14 14:52:00,10,1,102,1,Low,Open,,21.0,,45-54,
1000188,2024-02-18 16:00:00,16,2,101,4,Medium,Open,,31.2,,55-64,
1000189,2024-06-09 01:42:00,12,3,102,1,Low,Resolved,2024-06-10 03:48:00,26.1,,35-44,0
1000190,2024-09-28 21:54:00,11,1,101,1,Low,Open,,55.3,,35-44,
1000191,2025-01-09 19:36:00,14,1,100,3,Medium,Resolved,2025-01-13 09:24:00,85.8,4.0,25-34,1
1000192,2024-06-30 07:47:00,13,2,102,2,Medium,Resolved,2024-07-02 01:05:00,41.3,,35-44,1
1000193,2024-05-20 00:12:00,14,2,102,3,High,Resolved,2024-05-25 13:06:00,132.9,2.0,25-34,1
1000194,2024-12-05 13:28:00,15,1,102,3,Medium,Resolved,2024-12-08 15:34:00,74.1,5.0,18-24,1
1000195,2024-04-30 12:15:00,13,2,103,2,Medium,Resolved,2024-05-02 03:15:00,39.0,,45-54,1
1000196,2024-11-22 00:32:00,18,1,100,5,Low,Resolved,2024-11-26 08:56:00,104.4,,35-44,0
1000197,2024-03-27 04:02:00,11,1,100,1,Low,Resolved,2024-03-29 00:14:00,44.2,2.0,65+,1
1000198,2024-07-16 08:39:00,12,1,100,1,Medium,Resolved,2024-07-17 01:51:00,17.2,2.0,65+,1
1000199,2024-01-17 19:29:00,12,5,101,1,Medium,Resolved,2024-01-18 23:11:00,27.7,,35-44,0
1000200,2024-11-07 22:58:00,17,2,105,2,Low,Resolved,2024-11-08 19:58:00,21.0,3.0,65+,1
1000201,2024-04-02 14:54:00,15,2,105,3,Medium,Resolved,2024-04-05 13:00:00,70.1,,25-34,1
1000202,2024-05-03 11:52:00,11,3,101,1,Medium,Resolved,2024-05-06 21:34:00,81.7,2.0,25-34,0
1000203,2024-06-16 02:05:00,16,4,105,4,High,Resolved,2024-06-17 04:35:00,26.5,5.0,35-44,1
1000204,2024-02-25 15:14:00,17,1,100,2,Medium,Resolved,2024-02-26 10:32:00,19.3,5.0,55-64,1
1000205,2025-01-01 10:06:00,17,1,100,2,Low,Resolved,2025-01-02 08:12:00,22.1,3.0,25-34,1
1000206,2025-02-21 04:59:00,10,4,104,1,Medium,Reopened,2025-02-22 12:11:00,31.2,4.0,65+,0
1000207,2024-03-08 06:33:00,11,3,101,1,High,Resolved,2024-03-10 15:45:00,57.2,,35-44,0
1000208,2025-01-06 10:53:00,18,3,104,5,High,Resolved,2025-01-08 09:11:00,46.3,,25-34,1
1000209,2024-02-08 21:24:00,18,2,100,5,High,Resolved,2024-02-09 08:48:00,11.4,,55-64,1
1000210,2025-01-08 20:17:00,11,3,101,1,Low,Resolved,2025-01-13 16:05:00,115.8,,18-24,0
1000211,2024-03-08 10:05:00,14,4,104,3,Low,Open,,263.9,,45-54,
1000212,2024-06-05 23:28:00,11,4,100,1,Low,Resolved,2024-06-09 13:34:00,86.1,,35-44,0
1000213,2024-03-29 05:37:00,12,5,100,1,Low,Resolved,2024-03-30 20:55:00,39.3,,65+,0
1000214,2025-02-25 04:21:00,10,5,103,1,Low,Resolved,2025-02-26 05:27:00,25.1,,45-54,0
1000215,2024-02-10 21:40:00,12,1,103,1,High,Reopened,2024-02-11 05:40:00,8.0,4.0,45-54,1
1000216,2025-02-14 12:32:00,11,4,100,1,Medium,Resolved,2025-02-17 15:50:00,75.3,5.0,55-64,0
1000217,2024-07-11 14:56:00,18,1,104,5,Low,Resolved,2024-07-13 05:14:00,38.3,1.0,25-34,1
1000218,2024-02-18 16:43:00,14,1,105,3,Medium,Resolved,2024-02-27 13:13:00,212.5,4.0,65+,1
1000219,2024-04-10 21:12:00,11,3,101,1,Low,Resolved,2024-04-14 16:30:00,91.3,3.0,55-64,0
1000220,2024-04-10 21:35:00,12,5,101,1,Low,Resolved,2024-04-11 13:35:00,16.0,,45-54,1
1000221,2024-09-28 03:28:00,13,3,101,2,Low,Resolved,2024-10-03 02:58:00,119.5,,25-34,0
1000222,2024-12-29 06:06:00,15,4,101,3,Medium,Open,,138.7,,45-54,
1000223,2024-05-08 13:32:00,14,2,100,3,Low,Resolved,2024-05-19 08:14:00,258.7,1.0,35-44,0
1000224,2024-04-06 04:34:00,12,2,102,1,Low,Resolved,2024-04-06 16:28:00,11.9,,25-34,1
1000225,2024-02-18 09:29:00,12,1,103,1,Low,Resolved,2024-02-19 23:47:00,38.3,5.0,25-34,0
1000226,2024-12-15 16:46:00,14,5,102,3,Low,Open,,216.9,,25-34,
1000227,2024-03-25 16:15:00,19,5,100,5,Low,Open,,69.2,,35-44,
1000228,2024-11-29 17:59:00,14,5,105,3,Low,Resolved,2024-12-13 08:47:00,326.8,,35-44,0
1000229,2024-05-01 11:49:00,18,1,104,5,High,Resolved,2024-05-02 14:37:00,26.8,5.0,45-54,1
1000230,2025-02-18 07:15:00,10,2,104,1,Medium,Resolved,2025-02-18 22:45:00,15.5,3.0,65+,1
1000231,2024-07-19 23:08:00,11,1,105,1,Medium,Reopened,2024-07-21 08:50:00,33.7,1.0,35-44,1
1000232,2024-04-05 20:05:00,18,1,103,5,Low,Open,,37.4,,65+,
1000233,2024-12-08 20:59:00,14,2,103,3,Medium,Resolved,2024-12-16 22:05:00,193.1,,18-24,1
1000234,2025-01-24 00:53:00,13,2,103,2,Medium,Resolved,2025-01-27 14:53:00,86.0,5.0,18-24,0
1000235,2024-03-02 19:30:00,12,1,102,1,Low,Resolved,2024-03-03 13:18:00,17.8,,35-44,1
1000236,2024-02-27 05:34:00,12,3,102,1,Low,Resolved,2024-02-29 10:04:00,52.5,,18-24,0
1000237,2024-02-11 13:54:00,16,2,102,4,Medium,Resolved,2024-02-12 15:42:00,25.8,,25-34,1
1000238,2024-10-29 16:26:00,12,3,102,1,Medium,Resolved,2024-10-30 17:50:00,25.4,2.0,25-34,0
1000239,2025-01-21 08:33:00,13,2,104,2,Medium,Reopened,2025-01-24 13:33:00,77.0,,18-24,0
1000240,2024-02-18 16:01:00,17,1,104,2,Low,Open,,34.3,,55-64,
1000241,2024-06-18 17:59:00,19,2,103,5,Medium,Resolved,2024-06-21 17:23:00,71.4,1.0,35-44,1
1000242,2024-10-25 20:53:00,19,2,103,5,Low,Open,,107.4,,55-64,
1000243,2024-08-04 11:53:00,13,2,100,2,Low,Resolved,2024-08-09 15:11:00,123.3,5.0,25-34,0
