request_id,submitted_at,service_id,channel_id,district_id,department_id,priority,status,resolved_at,resolution_hours,satisfaction_score,citizen_age_band
1005260,2024-07-27 14:48:00,13,1,100,2,Medium,Resolved,2024-07-30 03:54:00,61.1,,35-44
1006386,11-Feb-2025 15:34,16,1,102,4,Low,Resolved,2025-02-14 11:16:00,67.7,4.0,45-54
1005056,2024-10-02 00:03:00,12,3,104,1,Low,Resolved,2024-10-03 13:21:00,37.3,,25-34
1001470,2024-01-31 16:23:00,14,1,102,3,High,Resolved,2024-02-04 04:17:00,83.9,2.0,55-64
1002077,2024-01-13 23:33:00,13,5,101,2, Medium ,Open,,31.0,,25-34
1011887,2024-01-05 07:06:00,11,3,102,1,Medium,Resolved,2024-01-06 21:06:00,38.0,3.0,Unknown
1007152,2024-02-06 01:57:00,14,1,100,3,Low,Resolved,2024-02-15 00:51:00,214.9,,25-34
1000247,2024-03-16 08:51:00,10,1,102,1,Low,Resolved,2024-03-17 08:33:00,23.7,2.0,18-24
1004647,19-Aug-2024 03:41,11,2,100,1,High,Resolved,2024-08-20 12:29:00,32.8,,35-44
1004718,01-Jan-2024 23:06,17,1,104,2, High ,Resolved,2024-01-02 13:18:00,14.2,3.0,45-54
1009142,2024-09-09 14:03:00,13,2,104,2,High,Resolved,2024-09-11 09:09:00,43.1,3.0,55-64
1008858,2024-04-30 14:09:00,11,1,104,1,MEDIUM,Resolved,2024-05-02 04:27:00,38.3,,
1006336,2024-02-05 14:17:00,11,2,103,1,Medium,Open,,79.4,,25-34
1000549,2024-05-24 07:37:00,18,1,101,5,Low,Resolved,2024-05-27 22:55:00,87.3,,Unknown
1007605,2025-02-05 17:52:00,10,3,105,1,Medium,Resolved,2025-02-07 05:46:00,35.9,1.0,65+
1000543,2024-05-31 22:34:00,10,2,103,1,LOW,Resolved,2024-06-01 17:10:00,18.6,,35-44
1010390,06-Sep-2024 09:37,15,3,100,3,Low,Resolved,2024-09-11 03:31:00,113.9,5.0,25-34
1005076,2025-02-15 15:06:00,10,2,103,1,Medium,Resolved,2025-02-15 23:06:00,8.0,,25-34
1009238,2024-07-03 13:28:00,17,5,100,2,Medium,Resolved,2024-07-04 16:34:00,27.1,4.0,25-34
1003383,2024-08-23 17:43:00,13,2,104,2,Low,Resolved,2024-08-25 12:13:00,42.5,1.0,35-44
1000924,2024-05-26 21:36:00,15,1,100,3,High,Resolved,2024-05-29 10:12:00,60.6,2.0,45-54
1001383,18-Sep-2024 03:25,12,2,100,1,Low,Resolved,2024-09-19 02:01:00,22.6,1.0,18-24
1001899,22-Dec-2024 03:29,19,5,102,5,Medium,Resolved,2024-12-26 10:05:00,102.6,3.0,35-44
1011089,2024-03-07 07:50:00,10,1,101,1,Low,Open,,31.8,,45-54
1002740,2024-07-02 22:05:00,13,1,105,2,Medium,Resolved,2024-07-05 09:35:00,59.5,1.0,35-44
1010019,2024-08-15 19:16:00,10,4,100,1,Low,Resolved,2024-08-16 13:40:00,18.4,4.0,65+
1005146,05-Aug-2024 00:06,12,3,103,1,Low,Open,,43.6,,65+
1006828,06-Mar-2024 19:19,13,2,101,2,High,Open,,72.7,,25-34
1004875,2024-07-31 16:35:00,11,2,103,1,Medium,Resolved,2024-08-03 10:29:00,65.9,5.0,25-34
1000494,2024-05-28 08:01:00,17,3,104,2,High,Resolved,2024-05-28 22:25:00,14.4,5.0,45-54
1002432,2024-12-03 12:56:00,10,1,103,1,Medium,Resolved,2024-12-03 23:02:00,10.1,,35-44
1007544,2024-08-25 02:38:00,12,5,102,1,MEDIUM,Reopened,2024-08-26 16:14:00,37.6,1.0,25-34
1010837,2024-02-11 02:16:00,11,2,100,1,High,Open,,29.6,,25-34
1001253,2024-10-29 17:06:00,15,3,105,3,Low,Resolved,2024-11-06 02:36:00,177.5,5.0,65+
1006750,2024-11-11 05:29:00,14,5,104,3,Medium,Resolved,2024-12-09 12:05:00,678.6,,35-44
1010675,22-Dec-2024 19:29,12,4,101,1,Medium,Open,,29.2,,45-54
1011027,2024-09-08 03:46:00,16,1,101,4,MEDIUM,Resolved,2024-09-09 19:28:00,39.7,1.0,45-54
1006367,2025-01-20 19:52:00,15,2,100,3,Low,Resolved,2025-01-25 10:46:00,110.9,5.0,Unknown
1000675,24-Dec-2024 02:52,10,2,105,1,Medium,Resolved,2024-12-25 13:22:00,34.5,2.0,25-34
1003361,29-Jul-2024 20:52,10,1,103,1,Medium,Resolved,2024-07-31 04:40:00,31.8,1.0,25-34
1010078,2024-07-06 18:42:00,11,1,104,1,LOW,Resolved,2024-07-08 06:00:00,35.3,2.0,55-64
1003065,2024-05-04 10:58:00,16,2,104,4,Low,Open,,24.8,,45-54
1004042,2024-10-11 08:47:00,16,2,105,4,MEDIUM,Resolved,2024-10-12 19:35:00,34.8,4.0,45-54
1005355,2024-08-10 23:10:00,16,5,102,4,Medium,Resolved,2024-08-13 02:16:00,51.1,,35-44
1005917,2024-12-27 04:59:00,17,1,103,2,Medium,Resolved,2024-12-27 21:41:00,16.7,2.0,35-44
1000203,2024-06-16 02:05:00,16,4,105,4,HIGH,Resolved,2024-06-17 04:35:00,26.5,5.0,35-44
1001785,2025-01-14 12:08:00,17,1,103,2,LOW,Resolved,2025-01-16 03:38:00,39.5,,
1006713,2024-01-08 18:57:00,12,2,104,1,Medium,Resolved,2024-01-09 03:51:00,8.9,,18-24
1002210,2024-07-14 11:36:00,17,5,103,2,HIGH,Resolved,2024-07-15 05:30:00,17.9,2.0,35-44
1005215,22-Feb-2024 07:38,11,4,101,1,LOW,Resolved,2024-02-24 15:38:00,56.0,4.0,45-54
1005662,2024-02-17 16:38:00,18,5,105,5,Medium,Open,,28.9,,55-64
1000799,2024-03-12 05:23:00,12,1,104,1,Medium,Resolved,2024-03-13 01:23:00,20.0,,35-44
1003014,2024-04-11 05:56:00,14,4,105,3,Low,Resolved,2024-04-16 06:38:00,120.7,1.0,Unknown
1008228,2024-02-05 23:24:00,17,5,105,2,Low,Resolved,2024-02-07 04:42:00,29.3,1.0,55-64
1008562,2024-11-13 18:27:00,10,1,104,1,Medium,Resolved,2024-11-15 05:51:00,35.4,4.0,25-34
1004389,2024-08-21 20:02:00,11,1,101,1,Low,Resolved,2024-08-24 14:02:00,66.0,3.0,18-24
1003378,2024-08-13 12:54:00,14,5,101,3,Medium,Resolved,2024-08-21 16:48:00,195.9,,35-44
1008084,2024-04-12 09:49:00,11,5,100,1,High,Resolved,2024-04-14 04:31:00,42.7,,35-44
1003105,2024-12-21 21:01:00,12,4,104,1,MEDIUM,Open,,18.4,,35-44
1004502,2024-05-19 03:05:00,12,3,101,1,Medium,Resolved,2024-05-20 19:47:00,40.7,4.0,45-54
1000308,2024-04-03 10:44:00,13,3,101,2,Medium,Resolved,2024-04-05 22:20:00,59.6,,25-34
1002438,2024-09-20 07:29:00,10,1,101,1,2,Open,,34.1,,35-44
1007935,2024-09-09 07:32:00,14,2,103,3,LOW,Resolved,2024-09-23 20:14:00,348.7,,25-34
1005607,2024-09-28 06:53:00,12,4,101,1,Low,Resolved,2024-09-29 14:35:00,31.7,,Unknown
1004230,2024-06-24 23:58:00,12,3,102,1,Medium,Resolved,2024-06-25 16:52:00,16.9,4.0,25-34
1001647,03-Sep-2024 10:11,15,3,105,3,Medium,Open,,115.8,,35-44
1006627,2024-10-13 13:36:00,18,1,104,5,Low,Resolved,2024-10-15 16:36:00,51.0,4.0,45-54
1010834,2024-04-26 05:09:00,10,5,105,1,Medium,Reopened,2024-04-27 03:51:00,22.7,1.0,45-54
1001691,15-Mar-2024 08:06,12,5,104,1,Medium,Resolved,2024-03-16 01:18:00,17.2,,35-44
1010828,22-Dec-2024 14:16,19,4,102,5,LOW,Resolved,2024-12-25 14:40:00,72.4,1.0,45-54
1000535,14-Aug-2024 18:37,11,1,101,1,Low,Resolved,2024-08-16 04:13:00,33.6,1.0,35-44
1000477,2024-09-29 20:00:00,18,3,101,5,HIGH,Resolved,2024-10-01 02:42:00,30.7,,18-24
1008647,30-Jan-2025 13:37,16,1,101,4,Low,Resolved,2025-02-01 15:55:00,50.3,4.0,
1008845,2025-01-08 13:34:00,17,5,104,2,High,Resolved,2025-01-09 06:16:00,16.7,,
1006228,13-Jul-2024 06:41,13,2,101,2,Low,Open,,93.9,,65+
1005097,2024-01-25 13:33:00,11,1,100,1,LOW,Resolved,2024-01-26 19:51:00,30.3,3.0,25-34
1001737,2024-08-05 04:30:00,12,5,101,1,Medium,Open,,20.5,,35-44
1003540,2024-01-31 12:31:00,14,1,103,3,Low,Resolved,2024-02-09 20:49:00,224.3,3.0,
1008439,2025-01-23 18:29:00,13,1,101,2,LOW,Resolved,2025-01-27 04:35:00,82.1,,25-34
1004737,2024-06-02 05:17:00,12,3,102,1,Medium,Resolved,2024-06-03 08:53:00,27.6,,18-24
1001703,2025-01-08 20:20:00,10,3,103,1,LOW,Resolved,2025-01-10 11:14:00,38.9,1.0,25-34
1010400,2024-12-12 20:14:00,17,2,100,2, Medium ,Resolved,2024-12-13 20:26:00,24.2,2.0,55-64
1008071,25-Feb-2024 09:37,15,2,102,3,Low,Open,,160.7,,
1008752,2024-02-16 09:27:00,10,1,102,1,MEDIUM,Resolved,2024-02-17 12:27:00,27.0,1.0,25-34
1001632,2024-04-18 00:26:00,11,1,102,1,High,Resolved,2024-04-20 02:44:00,50.3,,Unknown
1008403,2024-12-22 22:23:00,17,3,103,2, LOW ,Resolved,2024-12-26 03:47:00,77.4,2.0,18-24
1000767,02-Feb-2024 06:19,19,3,105,5,Medium,Resolved,2024-02-11 09:07:00,218.8,1.0,18-24
1010075,29-Jun-2024 00:16,18,2,101,5,Low,Resolved,2024-07-02 00:52:00,72.6,,35-44
1011279,2024-09-19 04:04:00,10,5,103,1,High,Open,,14.3,,25-34
1005217,2024-10-24 00:40:00,19,4,105,5,High,Resolved,2024-10-23 21:40:00,32.6,4.0,35-44
1010655,2024-07-16 10:11:00,10,3,101,1, Low ,Resolved,2024-07-16 22:59:00,12.8,,35-44
1001482,2024-03-11 17:25:00,18,5,102,5,Medium,Resolved,2024-03-12 19:25:00,26.0,3.0,45-54
1002798,2024-11-21 12:08:00,12,2,105,1,MEDIUM,Resolved,2024-11-22 18:20:00,30.2,,
1004064,2024-10-26 05:15:00,16,1,101,4,Medium,Resolved,2024-10-28 01:33:00,44.3,4.0,25-34
1011349,2024-03-20 15:32:00,18,1,105,5,Medium,Resolved,2024-03-23 03:02:00,59.5,5.0,
1006087,2024-11-01 01:59:00,15,1,102,3,Low,Resolved,2024-11-08 08:17:00,174.3,,25-34
1000853,26-Sep-2024 13:21,12,2,105,1,High,Resolved,2024-09-27 19:09:00,29.8,,55-64
1009938,25-May-2024 15:11,15,3,100,3,High,Resolved,2024-05-29 16:41:00,97.5,5.0,35-44
1000036,2024-07-19 20:58:00,14,5,100,3,Low,Resolved,2024-07-28 00:34:00,195.6,,55-64
1006683,2024-01-11 07:29:00,12,2,103,1,Low,Resolved,2024-01-12 06:11:00,22.7,,45-54
1007218,2024-09-23 01:56:00,19,1,103,5,Low,Resolved,2024-09-27 17:14:00,111.3,2.0,25-34
1006684,2024-06-22 13:12:00,13,5,102,2,Low,Resolved,2024-06-25 07:06:00,65.9,2.0,35-44
1007253,13-Feb-2025 23:35,11,2,101,1,High,Resolved,2025-02-14 23:05:00,23.5,3.0,65+
1005875,24-Jan-2025 17:34,19,5,104,5,Low,Resolved,2025-01-29 09:16:00,111.7,,18-24
1011703,2024-09-30 18:46:00,17,1,101,2,High,Open,,15.9,,25-34
1010077,2024-05-25 04:28:00,12,1,102,1,LOW,Open,,33.0,,25-34
1011164,21-Nov-2024 11:07,12,2,104,1, Medium ,Resolved,2024-11-22 02:13:00,15.1,5.0,25-34
1000479,2024-08-21 18:56:00,18,1,103,5,Low,Reopened,2024-08-24 18:20:00,71.4,,65+
1008150,03-Jun-2024 08:38,11,5,103,1,Medium,Resolved,2024-06-04 17:02:00,32.4,5.0,45-54
1008859,03-Feb-2024 00:56,12,4,102,1,Medium,Resolved,2024-02-03 17:26:00,16.5,,45-54
1005886,2024-05-25 16:17:00,19,1,102,5,High,Resolved,2024-05-26 23:35:00,31.3,5.0,35-44
1009028,15-May-2024 17:13,16,2,100,4,MEDIUM,Open,,63.7,,Unknown
1011304,2025-02-10 15:48:00,19,1,104,5,MEDIUM,Resolved,2025-02-12 22:24:00,54.6,5.0,35-44
1001878,2024-06-03 17:15:00,13,5,103,2,Low,Resolved,2024-06-05 04:33:00,35.3,2.0,
1003780,10-Feb-2024 23:04,19,2,103,5,Low,Resolved,2024-02-17 16:34:00,161.5,2.0,25-34
1000133,2024-07-05 18:50:00,18,1,105,5,Low,Resolved,2024-07-09 20:20:00,97.5,4.0,35-44
1004011,2024-02-29 07:09:00,17,3,105,2,Low,Resolved,2024-03-02 12:39:00,53.5,4.0,35-44
1004003,2024-05-28 20:33:00,10,1,105,1,High,Resolved,2024-05-29 10:39:00,14.1,4.0,25-34
1000751,29-Aug-2024 08:57,11,1,102,1,Low,Resolved,2024-08-30 03:51:00,18.9,3.0,25-34
1009745,2024-09-11 22:53:00,17,2,101,2,Low,Resolved,2024-09-12 10:29:00,11.6,2.0,35-44
1002516,2024-11-21 04:42:00,10,1,104,1,Low,Resolved,2024-11-22 16:24:00,35.7,3.0,35-44
1010822,2024-08-21 21:07:00,17,1,102,2,Low,Open,,21.8,,55-64
1004804,08-Apr-2024 08:57,17,1,105,2,Low,Resolved,2024-04-09 00:45:00,15.8,5.0,35-44
1006725,2024-09-11 17:00:00,15,2,100,3,LOW,Open,,114.5,,65+
1010749,05-Apr-2024 07:41,18,3,101,5,Low,Resolved,2024-04-09 08:05:00,96.4,,65+
1007033,2024-12-14 02:35:00,12,3,102,1,Low,Open,,25.2,,35-44
1011962,23-Jul-2024 08:54,17,4,102,2,LOW,Resolved,2024-07-24 13:00:00,28.1,2.0,25-34
1000612,08-Jan-2025 00:00,17,3,103,2,High,Resolved,2025-01-08 22:18:00,22.3,,35-44
1009136,26-Sep-2024 04:53,14,2,105,3,Low,Resolved,2024-10-07 07:35:00,266.7,3.0,55-64
1005304,2024-11-30 07:17:00,17,5,101,2,Medium,Resolved,2024-12-01 14:29:00,31.2,,65+
1000083,2024-05-20 01:53:00,10,5,102,1,Low,Open,,13.6,,55-64
1007367,2024-09-16 00:34:00,19,2,103,5,Medium,Resolved,2024-09-18 23:28:00,70.9,,25-34
1007220,19-Oct-2024 14:17,16,2,104,4,Medium,Resolved,2024-10-20 16:35:00,26.3,4.0,35-44
1011503,12-Mar-2024 19:18,12,1,102,1,Low,Resolved,2024-03-13 03:48:00,8.5,3.0,55-64
1009279,2024-03-26 23:43:00,11,2,101,1,Low,Reopened,2024-04-02 23:19:00,167.6,,65+
1005483,2024-06-29 11:21:00,17,1,105,2, Low ,Resolved,2024-06-30 17:33:00,30.2,5.0,
1004551,07-Nov-2024 16:56,18,1,102,5,Medium,Open,,60.6,,25-34
1004101,27-Mar-2024 09:28,14,1,103,3,MEDIUM,Resolved,2024-03-31 21:52:00,108.4,2.0,35-44
1009101,11-Jun-2024 03:51,16,2,102,4,Low,Resolved,2024-06-13 16:03:00,60.2,,35-44
1006498,28-Mar-2024 12:05,19,3,101,5,Low,Resolved,2024-04-03 10:17:00,142.2,,25-34
1011497,2024-09-09 19:57:00,11,2,102,1,Low,Resolved,2024-09-11 20:57:00,49.0,,35-44
1004060,2024-09-20 07:13:00,15,2,100,3, High ,Resolved,2024-09-23 09:01:00,73.8,4.0,65+
1007535,2024-12-08 15:04:00,10,3,104,1, MEDIUM ,Resolved,2024-12-09 10:52:00,19.8,4.0,25-34
1003900,03-Feb-2025 19:39,10,2,100,1,High,Resolved,2025-02-04 06:51:00,11.2,5.0,65+
1004523,2024-09-01 12:17:00,16,5,101,4,Medium,Resolved,2024-09-04 00:47:00,60.5,,25-34
1009687,2024-06-18 17:26:00,10,1,105,1,Low,Resolved,2024-06-21 11:08:00,65.7,1.0,25-34
1003344,2024-08-28 05:24:00,16,1,100,4,Low,Resolved,2024-08-30 03:24:00,46.0,,35-44
1000748,09-Apr-2024 12:09,13,1,102,2,Low,Resolved,2024-04-14 13:09:00,121.0,2.0,25-34
1005879,08-Nov-2024 11:13,18,5,101,5,HIGH,Reopened,2024-11-12 23:19:00,108.1,,45-54
1003140,2025-02-14 05:42:00,16,3,103,4,Medium,Resolved,2025-02-16 17:36:00,59.9,,25-34
1005522,04-Jan-2024 14:08,15,1,100,3,Medium,Resolved,2024-01-10 03:56:00,133.8,,18-24
1007104,2024-12-17 13:06:00,10,2,105,1,Medium,Reopened,2024-12-18 02:24:00,13.3,5.0,45-54
1005816,19-Jan-2025 03:59,12,2,101,1, Low ,Resolved,2025-01-22 10:17:00,78.3,3.0,25-34
1010868,2024-03-18 22:52:00,14,2,104,3,Low,Resolved,2024-03-22 11:52:00,85.0,4.0,35-44
1007666,04-Aug-2024 21:21,11,3,100,1,Low,Resolved,2024-08-08 18:03:00,92.7,,35-44
1010739,2024-08-10 01:30:00,15,1,100,3,Medium,Resolved,2024-08-14 03:36:00,98.1,1.0,35-44
1010694,17-Mar-2024 10:48,13,3,105,2,Low,Resolved,2024-03-21 19:18:00,104.5,4.0,18-24
1010866,06-Nov-2024 08:23,12,1,105,1,Medium,Resolved,2024-11-07 19:53:00,35.5,5.0,25-34
1006474,2024-03-07 00:00:00,13,1,105,2,High,Resolved,2024-03-09 12:00:00,60.0,,55-64
1003849,2024-03-08 12:40:00,10,1,100,1,High,Resolved,2024-03-09 01:58:00,13.3,4.0,45-54
1003287,31-Oct-2024 08:38,13,1,103,2,Low,Resolved,2024-11-03 22:26:00,85.8,4.0,45-54
1008662,06-Apr-2024 19:38,12,3,101,1,Low,Resolved,2024-04-08 19:50:00,48.2,5.0,18-24
1006908,2024-06-12 13:52:00,13,1,104,2,Low,Resolved,2024-06-17 08:04:00,114.2,1.0,35-44
1007713,2024-01-17 03:37:00,19,4,104,5,Low,Reopened,2024-01-23 09:07:00,149.5,3.0,65+
1000110,2024-07-04 04:44:00,15,1,102,3,Low,Resolved,2024-07-09 11:02:00,126.3,5.0,45-54
1007261,2024-07-22 20:40:00,14,5,101,3,Low,Resolved,2024-07-30 01:22:00,172.7,3.0,45-54
1008475,2024-08-07 05:14:00,12,2,103,1,Low,Resolved,2024-08-08 00:26:00,19.2,1.0,45-54
1002403,2024-03-30 22:24:00,18,3,101,5,Medium,Resolved,2024-04-02 06:24:00,56.0,3.0,55-64
1000762,2024-10-03 10:15:00,14,3,105,3, High ,Resolved,2024-10-17 13:15:00,339.0,,35-44
1010340,04-Jan-2024 13:30,10,5,100,1,High,Resolved,2024-01-05 02:30:00,13.0,,45-54
1011830,2024-02-29 10:55:00,18,2,100,5,High,Resolved,2024-03-01 14:19:00,27.4,5.0,25-34
1001019,30-Jun-2024 13:16,19,5,104,5,Medium,Resolved,2024-07-07 05:28:00,160.2,,55-64
1009851,2025-02-06 01:37:00,18,1,101,5,Medium,Resolved,2025-02-07 23:25:00,45.8,,35-44
1006998,2024-04-30 00:17:00,12,1,101,1,Low,Resolved,2024-05-02 04:41:00,52.4,1.0,
1009234,2024-01-19 14:40:00,14,1,101,3,Medium,Resolved,2024-01-27 08:04:00,185.4,1.0,
1008824,11-Feb-2025 15:45,13,1,102,2,Medium,Resolved,2025-02-14 02:33:00,58.8,4.0,25-34
1010604,15-Dec-2024 21:37,13,1,100,2,Medium,Resolved,2024-12-17 06:43:00,33.1,5.0,55-64
1006602,2024-12-28 09:16:00,11,5,105,1,Low,Resolved,2024-12-31 03:52:00,66.6,,25-34
1007227,02-Oct-2024 15:48,10,1,103,1,Medium,Resolved,2024-10-04 03:42:00,35.9,,45-54
1009128,2024-12-16 21:55:00,12,1,103,1,Medium,Resolved,2024-12-17 13:19:00,15.4,,35-44
1005169,14-Aug-2024 05:37,13,1,103,2,Medium,Resolved,2024-08-17 03:01:00,69.4,3.0,45-54
1006440,2024-09-16 16:36:00,17,4,104,2,Medium,Open,,21.3,,55-64
1007987,14-Aug-2024 00:27,16,1,104,4,High,Open,,21.0,,18-24
1003009,2024-09-27 17:46:00,11,5,105,1,MEDIUM,Reopened,2024-09-30 09:40:00,63.9,1.0,18-24
1009324,2024-08-01 19:10:00,13,3,101,2,High,Resolved,2024-08-04 12:04:00,64.9,,45-54
1005319,2025-01-04 13:10:00,19,2,102,5,Low,Reopened,2025-01-10 00:22:00,131.2,2.0,25-34
1008847,2024-02-02 14:03:00,12,1,105,1,LOW,Resolved,2024-02-03 11:45:00,21.7,,18-24
1010754,2024-03-16 01:44:00,15,1,101,3,Low,Resolved,2024-03-21 10:14:00,128.5,,55-64
1003764,2024-09-25 10:12:00,11,1,102,1,Medium,Resolved,2024-09-26 21:18:00,35.1,,55-64
1008172,2024-03-08 13:04:00,15,5,101,3,Low,Resolved,2024-03-11 12:58:00,71.9,,25-34
1010206,2024-10-29 00:28:00,18,3,105,5,Low,Resolved,2024-11-01 19:52:00,91.4,5.0,45-54
1000601,2024-01-06 16:51:00,17,1,103,2,Low,Open,,9999.0,,25-34
1007732,2024-10-28 05:31:00,10,1,103,1,Medium,Resolved,2024-10-29 02:25:00,20.9,,25-34
1010520,13-Apr-2024 05:16,14,3,103,3,LOW,Open,,256.0,,45-54
1009490,2024-07-24 23:48:00,10,1,100,1,Low,Resolved,2024-07-25 21:54:00,22.1,2.0,18-24
1010308,08-May-2024 02:53,13,1,100,2,Low,Resolved,2024-05-11 03:47:00,72.9,,25-34
1004001,2024-10-30 12:06:00,12,1,100,1,MEDIUM,Resolved,2024-10-31 02:36:00,14.5,,35-44
1004580,2024-10-21 08:24:00,16,5,103,4,Low,Resolved,2024-10-22 06:42:00,22.3,,25-34
1007071,2024-06-20 02:11:00,15,1,104,3, Low ,Resolved,2024-06-28 05:41:00,195.5,1.0,Unknown
1006211,2025-02-20 21:56:00,11,2,100,1,LOW,Resolved,2025-02-22 17:32:00,43.6,5.0,45-54
1011033,02-Jan-2024 06:20,15,1,105,3,High,Open,,78.3,,18-24
