basket_id,item
68,Butter
68,Cheese
69,Baby Wipes
69,Bananas
69,Cheese
69,Crisps
69,Pasta
70,Crisps
70,Eggs
71,Coffee
71,Pasta
71,Sugar
71,Tea
71,Tomato Sauce
72,Eggs
72,Milk
72,Tea
73,Baby Wipes
73,Pasta
73,Tomato Sauce
74,Baby Wipes
74,Butter
74,Coffee
74,Milk
75,Bread
75,Butter
76,Bananas
76,Crisps
76,Eggs
76,Pasta
76,Soft Drinks
76,Tea
76,Tomato Sauce
77,Bananas
77,Tea
78,Baby Wipes
78,Butter
78,Sugar
79,Baby Wipes
79,Eggs
79,Milk
79,Nappies
79,Soft Drinks
79,Tea
80,Crisps
80,Milk
80,Tea
81,Baby Wipes
81,Cheese
81,Eggs
81,Milk
82,Bananas
82,Milk
82,Tea
83,Baby Wipes
83,Nappies
83,Pasta
83,Tomato Sauce
84,Bread
84,Cheese
84,Coffee
84,Pasta
84,Tomato Sauce
85,Crisps
85,Milk
85,Tea
86,Baby Wipes
86,Bread
86,Butter
86,Cheese
86,Soft Drinks
87,Baby Wipes
87,Crisps
87,Eggs
87,Nappies
87,Tomato Sauce
88,Crisps
88,Tea
89,Baby Wipes
89,Bread
89,Butter
89,Cheese
89,Coffee
89,Nappies
89,Sugar
90,Crisps
90,Pasta
90,Soft Drinks
90,Tomato Sauce
91,Coffee
91,Crisps
91,Soft Drinks
92,Bananas
92,Milk
92,Tea
93,Coffee
93,Crisps
93,Nappies
93,Pasta
93,Soft Drinks
93,Sugar
93,Tomato Sauce
94,Baby Wipes
94,Bananas
94,Crisps
94,Milk
94,Nappies
94,Pasta
94,Soft Drinks
94,Tomato Sauce
95,Baby Wipes
95,Crisps
95,Milk
95,Nappies
95,Tea
95,Tomato Sauce
96,Crisps
96,Nappies
96,Pasta
96,Tomato Sauce
97,Bread
97,Butter
97,Pasta
97,Sugar
97,Tomato Sauce
98,Bananas
98,Bread
98,Butter
98,Coffee
98,Crisps
98,Pasta
98,Tomato Sauce
99,Butter
99,Crisps
99,Nappies
99,Sugar
100,Butter
100,Crisps
100,Eggs
100,Milk
100,Tea
101,Baby Wipes
101,Butter
101,Eggs
101,Nappies
101,Pasta
101,Tea
101,Tomato Sauce
102,Baby Wipes
102,Butter
102,Milk
102,Pasta
102,Tea
102,Tomato Sauce
103,Bananas
103,Bread
103,Coffee
103,Crisps
103,Nappies
103,Tomato Sauce
104,Cheese
104,Eggs
105,Bananas
105,Bread
105,Crisps
105,Milk
106,Baby Wipes
106,Bananas
106,Cheese
106,Coffee
107,Baby Wipes
107,Bananas
107,Crisps
107,Nappies
107,Pasta
107,Soft Drinks
107,Sugar
107,Tea
108,Baby Wipes
108,Milk
108,Nappies
108,Tea
108,Tomato Sauce
109,Coffee
109,Eggs
109,Nappies
109,Tomato Sauce
110,Baby Wipes
110,Coffee
110,Eggs
110,Milk
110,Nappies
110,Pasta
110,Soft Drinks
110,Sugar
110,Tea
110,Tomato Sauce
111,Bananas
111,Bread
111,Crisps
111,Eggs
111,Tea
112,Bananas
112,Milk
112,Pasta
112,Tea
112,Tomato Sauce
113,Bananas
113,Bread
114,Baby Wipes
114,Bananas
114,Bread
114,Cheese
114,Nappies
114,Tomato Sauce
115,Baby Wipes
115,Bread
115,Butter
115,Crisps
116,Baby Wipes
116,Bananas
116,Butter
116,Coffee
116,Nappies
116,Pasta
116,Sugar
116,Tomato Sauce
117,Baby Wipes
117,Bananas
117,Butter
117,Coffee
117,Crisps
117,Nappies
118,Baby Wipes
118,Bread
118,Coffee
118,Crisps
118,Nappies
118,Soft Drinks
118,Sugar
118,Tomato Sauce
119,Cheese
119,Coffee
119,Pasta
119,Soft Drinks
119,Sugar
119,Tea
120,Baby Wipes
120,Bananas
120,Bread
120,Butter
120,Crisps
120,Nappies
121,Butter
121,Coffee
121,Eggs
121,Pasta
121,Sugar
121,Tomato Sauce
122,Coffee
122,Crisps
122,Soft Drinks
123,Baby Wipes
123,Bread
123,Butter
123,Eggs
123,Milk
123,Nappies
123,Soft Drinks
123,Tea
124,Baby Wipes
124,Crisps
124,Milk
124,Tea
124,Tomato Sauce
125,Baby Wipes
125,Bread
125,Butter
125,Coffee
125,Milk
125,Pasta
125,Sugar
125,Tomato Sauce
126,Baby Wipes
126,Butter
126,Coffee
126,Milk
126,Pasta
126,Sugar
126,Tea
127,Baby Wipes
127,Bread
127,Coffee
127,Crisps
127,Soft Drinks
128,Bananas
128,Crisps
128,Soft Drinks
129,Eggs
129,Milk
129,Tea
130,Eggs
130,Nappies
130,Sugar
131,Milk
131,Nappies
131,Tea
132,Soft Drinks
132,Sugar
132,Tomato Sauce
133,Bread
133,Butter
133,Milk
134,Baby Wipes
134,Bread
134,Cheese
134,Crisps
135,Bread
135,Crisps
135,Nappies
136,Crisps
136,Eggs
136,Soft Drinks
137,Bread
137,Crisps
137,Eggs
137,Soft Drinks
138,Baby Wipes
138,Bananas
138,Bread
138,Butter
138,Cheese
138,Eggs
138,Nappies
139,Bread
139,Crisps
139,Sugar
140,Baby Wipes
140,Bread
140,Milk
140,Nappies
140,Sugar
140,Tomato Sauce
141,Baby Wipes
141,Butter
141,Cheese
141,Coffee
141,Nappies
141,Sugar
141,Tomato Sauce
142,Baby Wipes
142,Bread
142,Butter
142,Milk
142,Nappies
142,Sugar
142,Tea
143,Bread
143,Milk
144,Butter
144,Crisps
144,Eggs
144,Milk
145,Bread
145,Butter
145,Pasta
145,Sugar
145,Tea
145,Tomato Sauce
146,Bananas
146,Coffee
146,Crisps
146,Eggs
146,Soft Drinks
146,Tomato Sauce
147,Bread
147,Butter
147,Crisps
147,Pasta
147,Soft Drinks
147,Sugar
148,Bananas
148,Coffee
148,Eggs
148,Milk
149,Baby Wipes
149,Bread
149,Butter
149,Crisps
149,Nappies
149,Pasta
149,Soft Drinks
149,Sugar
149,Tea
150,Baby Wipes
150,Bananas
150,Butter
150,Crisps
150,Nappies
150,Tea
150,Tomato Sauce
151,Baby Wipes
151,Bread
151,Butter
151,Crisps
151,Milk
151,Nappies
151,Soft Drinks
152,Baby Wipes
152,Bread
152,Butter
152,Coffee
152,Eggs
152,Nappies
152,Soft Drinks
153,Baby Wipes
153,Bread
153,Butter
153,Cheese
153,Crisps
153,Eggs
154,Crisps
154,Milk
154,Tea
154,Tomato Sauce
155,Baby Wipes
155,Bread
155,Butter
155,Coffee
155,Tea
155,Tomato Sauce
156,Bananas
156,Bread
156,Crisps
156,Milk
156,Sugar
156,Tea
157,Baby Wipes
157,Butter
157,Milk
157,Pasta
157,Sugar
158,Bananas
158,Butter
158,Crisps
158,Milk
158,Pasta
158,Tea
158,Tomato Sauce
159,Milk
159,Sugar
160,Coffee
160,Sugar
160,Tea
161,Bread
161,Butter
161,Crisps
161,Milk
161,Pasta
161,Soft Drinks
161,Tomato Sauce
162,Baby Wipes
162,Cheese
162,Crisps
162,Pasta
162,Soft Drinks
162,Sugar
162,Tomato Sauce
163,Baby Wipes
163,Nappies
163,Pasta
163,Tomato Sauce
164,Bananas
164,Eggs
165,Bananas
165,Bread
165,Butter
165,Coffee
165,Crisps
166,Bread
166,Butter
166,Crisps
166,Eggs
166,Milk
166,Pasta
166,Tea
166,Tomato Sauce
167,Bananas
167,Coffee
167,Crisps
168,Baby Wipes
168,Butter
168,Milk
168,Nappies
168,Pasta
168,Tea
168,Tomato Sauce
169,Soft Drinks
169,Sugar
170,Baby Wipes
170,Bananas
170,Coffee
170,Milk
170,Nappies
170,Sugar
171,Cheese
171,Sugar
172,Baby Wipes
172,Bananas
172,Crisps
172,Eggs
172,Nappies
172,Soft Drinks
173,Bread
173,Butter
173,Cheese
173,Crisps
173,Pasta
173,Soft Drinks
173,Tomato Sauce
174,Bananas
174,Eggs
175,Eggs
175,Tea
176,Bread
176,Tomato Sauce
177,Bread
177,Crisps
177,Milk
177,Pasta
177,Soft Drinks
177,Tea
178,Milk
178,Pasta
178,Tea
179,Coffee
179,Pasta
179,Sugar
179,Tomato Sauce
180,Baby Wipes
180,Nappies
180,Pasta
180,Tea
180,Tomato Sauce
181,Bananas
181,Bread
181,Butter
181,Coffee
181,Crisps
181,Nappies
181,Sugar
182,Bananas
182,Coffee
182,Crisps
182,Milk
182,Tea
183,Bananas
183,Bread
183,Butter
183,Coffee
183,Pasta
183,Sugar
184,Bread
184,Butter
184,Cheese
184,Crisps
184,Milk
184,Soft Drinks
185,Crisps
185,Soft Drinks
186,Baby Wipes
186,Bananas
186,Bread
186,Butter
186,Coffee
186,Nappies
186,Pasta
186,Sugar
186,Tomato Sauce
187,Butter
187,Cheese
187,Tea
187,Tomato Sauce
188,Eggs
188,Milk
188,Tea
189,Bananas
189,Bread
189,Butter
189,Crisps
189,Milk
189,Pasta
189,Tea
189,Tomato Sauce
190,Bread
190,Butter
190,Pasta
190,Tomato Sauce
191,Butter
191,Crisps
191,Eggs
191,Milk
191,Pasta
191,Tea
191,Tomato Sauce
192,Baby Wipes
192,Cheese
192,Eggs
192,Nappies
192,Soft Drinks
193,Baby Wipes
193,Cheese
193,Crisps
193,Eggs
193,Nappies
193,Soft Drinks
194,Bread
194,Butter
194,Coffee
194,Pasta
194,Sugar
195,Bananas
195,Bread
195,Butter
195,Coffee
195,Crisps
195,Soft Drinks
195,Sugar
196,Eggs
196,Milk
196,Tea
196,Tomato Sauce
197,Baby Wipes
197,Butter
197,Coffee
197,Nappies
198,Bread
198,Butter
198,Cheese
198,Coffee
198,Crisps
198,Milk
198,Pasta
198,Tea
198,Tomato Sauce
199,Baby Wipes
199,Pasta
199,Tomato Sauce
200,Baby Wipes
200,Coffee
200,Nappies
200,Pasta
200,Sugar
200,Tomato Sauce
201,Bananas
201,Milk
202,Baby Wipes
202,Bananas
202,Bread
202,Butter
202,Coffee
202,Milk
202,Nappies
202,Sugar
203,Baby Wipes
203,Bananas
203,Bread
203,Butter
203,Nappies
203,Sugar
204,Bread
204,Cheese
204,Pasta
204,Tomato Sauce
205,Baby Wipes
205,Bananas
205,Bread
205,Butter
205,Coffee
205,Crisps
205,Nappies
206,Baby Wipes
206,Bread
206,Butter
206,Coffee
207,Butter
207,Cheese
208,Baby Wipes
208,Bread
208,Butter
208,Nappies
208,Tea
209,Bananas
209,Coffee
209,Crisps
209,Pasta
209,Sugar
210,Baby Wipes
210,Bananas
210,Bread
210,Butter
210,Eggs
210,Milk
210,Nappies
210,Pasta
210,Tea
211,Milk
211,Pasta
212,Baby Wipes
212,Cheese
212,Crisps
212,Milk
212,Soft Drinks
213,Bananas
213,Cheese
213,Coffee
213,Nappies
213,Sugar
213,Tomato Sauce
214,Bananas
214,Bread
214,Butter
215,Crisps
215,Eggs
215,Milk
215,Tea
216,Crisps
216,Milk
216,Soft Drinks
216,Tea
217,Cheese
217,Coffee
218,Bread
218,Butter
218,Eggs
218,Tomato Sauce
219,Bananas
219,Coffee
219,Crisps
219,Pasta
219,Soft Drinks
219,Sugar
219,Tomato Sauce
220,Cheese
220,Pasta
220,Tomato Sauce
221,Baby Wipes
221,Crisps
221,Eggs
221,Nappies
221,Pasta
221,Soft Drinks
221,Sugar
221,Tomato Sauce
222,Baby Wipes
222,Crisps
223,Baby Wipes
223,Bananas
223,Butter
223,Cheese
223,Crisps
223,Soft Drinks
223,Tomato Sauce
224,Baby Wipes
224,Crisps
224,Soft Drinks
225,Bread
225,Butter
225,Cheese
225,Coffee
225,Sugar
225,Tea
226,Baby Wipes
226,Nappies
226,Tea
226,Tomato Sauce
227,Baby Wipes
227,Crisps
227,Nappies
227,Soft Drinks
228,Baby Wipes
228,Eggs
228,Nappies
229,Baby Wipes
229,Butter
229,Eggs
229,Milk
229,Nappies
229,Pasta
229,Tea
229,Tomato Sauce
230,Coffee
230,Crisps
230,Milk
230,Pasta
230,Sugar
230,Tea
230,Tomato Sauce
231,Baby Wipes
231,Bananas
231,Cheese
231,Milk
231,Nappies
231,Tea
232,Eggs
232,Milk
233,Cheese
233,Crisps
233,Nappies
233,Tea
233,Tomato Sauce
234,Baby Wipes
234,Cheese
234,Nappies
234,Tea
235,Bananas
235,Butter
235,Coffee
235,Crisps
235,Eggs
236,Bananas
236,Butter
236,Crisps
236,Milk
236,Pasta
236,Soft Drinks
236,Tea
237,Baby Wipes
237,Butter
237,Nappies
237,Tomato Sauce
238,Bread
238,Cheese
238,Crisps
238,Pasta
238,Soft Drinks
238,Sugar
238,Tomato Sauce
239,Cheese
239,Coffee
239,Milk
239,Sugar
239,Tea
239,Tomato Sauce
240,Baby Wipes
240,Eggs
240,Nappies
240,Soft Drinks
240,Tomato Sauce
241,Baby Wipes
241,Bread
241,Butter
241,Nappies
241,Pasta
241,Sugar
241,Tomato Sauce
242,Baby Wipes
242,Cheese
242,Coffee
242,Crisps
242,Milk
242,Nappies
242,Sugar
242,Tea
243,Bananas
243,Eggs
244,Cheese
244,Crisps
244,Milk
244,Pasta
244,Soft Drinks
244,Tea
244,Tomato Sauce
245,Baby Wipes
245,Bananas
245,Bread
245,Butter
245,Cheese
245,Milk
245,Tea
246,Baby Wipes
246,Butter
246,Cheese
246,Milk
246,Nappies
246,Soft Drinks
246,Tea
247,Baby Wipes
247,Coffee
247,Crisps
247,Milk
247,Nappies
247,Soft Drinks
247,Sugar
247,Tea
248,Baby Wipes
248,Crisps
248,Milk
248,Nappies
248,Soft Drinks
248,Tea
249,Bananas
249,Bread
249,Cheese
249,Eggs
249,Milk
249,Tea
249,Tomato Sauce
250,Baby Wipes
250,Coffee
250,Nappies
250,Pasta
250,Tomato Sauce
251,Bananas
251,Bread
251,Butter
251,Cheese
251,Crisps
251,Milk
251,Tea
251,Tomato Sauce
252,Baby Wipes
252,Bread
252,Butter
252,Coffee
252,Crisps
252,Milk
252,Nappies
253,Crisps
253,Milk
253,Soft Drinks
253,Sugar
253,Tea
254,Baby Wipes
254,Cheese
254,Coffee
254,Eggs
254,Pasta
254,Sugar
254,Tomato Sauce
255,Coffee
255,Crisps
255,Soft Drinks
256,Bananas
256,Cheese
256,Coffee
256,Eggs
256,Milk
256,Tomato Sauce
257,Baby Wipes
257,Bananas
257,Nappies
257,Pasta
257,Soft Drinks
257,Tomato Sauce
258,Crisps
258,Eggs
258,Milk
258,Tea
258,Tomato Sauce
259,Baby Wipes
259,Crisps
259,Milk
259,Nappies
259,Soft Drinks
259,Tea
260,Baby Wipes
260,Cheese
260,Crisps
260,Pasta
260,Soft Drinks
260,Tomato Sauce
261,Bananas
261,Cheese
261,Milk
261,Tomato Sauce
262,Baby Wipes
262,Bananas
262,Coffee
262,Milk
262,Nappies
262,Tea
262,Tomato Sauce
263,Cheese
263,Pasta
263,Tea
263,Tomato Sauce
264,Baby Wipes
264,Eggs
264,Milk
264,Nappies
264,Tea
265,Butter
265,Coffee
266,Bananas
266,Cheese
266,Coffee
266,Pasta
266,Sugar
266,Tea
266,Tomato Sauce
267,Butter
267,Cheese
267,Crisps
267,Eggs
267,Soft Drinks
267,Sugar
268,Bananas
268,Bread
268,Butter
268,Pasta
268,Soft Drinks
268,Tomato Sauce
269,Bananas
269,Butter
269,Coffee
269,Crisps
269,Pasta
269,Soft Drinks
269,Sugar
269,Tomato Sauce
270,Baby Wipes
270,Eggs
270,Milk
270,Tea
270,Tomato Sauce
271,Baby Wipes
271,Bananas
271,Bread
271,Crisps
271,Milk
271,Tea
272,Bread
272,Butter
272,Eggs
272,Pasta
272,Soft Drinks
272,Tomato Sauce
273,Baby Wipes
273,Bread
273,Butter
273,Nappies
273,Pasta
273,Soft Drinks
273,Tomato Sauce
274,Pasta
274,Soft Drinks
274,Tomato Sauce
275,Bread
275,Butter
275,Milk
275,Nappies
275,Pasta
275,Tomato Sauce
276,Bread
276,Butter
276,Cheese
276,Crisps
276,Pasta
276,Soft Drinks
276,Sugar
276,Tomato Sauce
277,Coffee
277,Eggs
277,Pasta
278,Bananas
278,Coffee
278,Eggs
278,Milk
278,Pasta
278,Sugar
278,Tea
279,Baby Wipes
279,Coffee
279,Nappies
279,Sugar
280,Baby Wipes
280,Bananas
280,Eggs
280,Milk
280,Nappies
281,Baby Wipes
281,Cheese
281,Milk
281,Nappies
281,Tea
282,Coffee
282,Eggs
282,Sugar
283,Bananas
283,Milk
283,Sugar
283,Tea
284,Bananas
284,Bread
284,Butter
284,Coffee
284,Milk
284,Soft Drinks
284,Tea
285,Baby Wipes
285,Coffee
285,Pasta
285,Sugar
285,Tomato Sauce
286,Baby Wipes
286,Bread
286,Butter
286,Cheese
286,Nappies
286,Pasta
286,Tea
286,Tomato Sauce
287,Cheese
287,Eggs
287,Pasta
287,Tomato Sauce
288,Coffee
288,Crisps
288,Milk
288,Nappies
288,Soft Drinks
288,Sugar
288,Tea
289,Baby Wipes
289,Cheese
289,Eggs
290,Baby Wipes
290,Bananas
290,Bread
290,Cheese
290,Eggs
290,Milk
290,Nappies
290,Tea
291,Baby Wipes
291,Bananas
291,Eggs
291,Nappies
291,Tea
292,Bananas
292,Pasta
292,Soft Drinks
292,Tomato Sauce
293,Baby Wipes
293,Bananas
293,Cheese
293,Eggs
293,Milk
293,Tomato Sauce
294,Bread
294,Butter
294,Crisps
294,Milk
294,Pasta
294,Soft Drinks
294,Tea
294,Tomato Sauce
295,Crisps
295,Soft Drinks
295,Tea
296,Baby Wipes
296,Nappies
297,Bananas
297,Crisps
297,Pasta
297,Soft Drinks
297,Tomato Sauce
298,Bananas
298,Bread
298,Butter
298,Crisps
298,Milk
298,Pasta
298,Soft Drinks
298,Tea
298,Tomato Sauce
299,Baby Wipes
299,Pasta
300,Baby Wipes
300,Bananas
300,Crisps
300,Tea
301,Eggs
301,Milk
301,Tea
301,Tomato Sauce
302,Butter
302,Tomato Sauce
303,Baby Wipes
303,Butter
303,Coffee
303,Crisps
303,Milk
303,Pasta
303,Soft Drinks
303,Sugar
303,Tomato Sauce
304,Bananas
304,Cheese
304,Coffee
304,Milk
304,Pasta
304,Sugar
304,Tea
304,Tomato Sauce
305,Baby Wipes
305,Crisps
305,Soft Drinks
306,Baby Wipes
306,Bananas
306,Coffee
306,Crisps
306,Milk
306,Sugar
306,Tea
307,Baby Wipes
307,Coffee
307,Milk
307,Tea
308,Butter
308,Crisps
308,Soft Drinks
309,Bread
309,Butter
309,Cheese
309,Coffee
309,Crisps
309,Soft Drinks
309,Sugar
309,Tomato Sauce
310,Cheese
310,Eggs
310,Milk
310,Sugar
311,Bread
311,Butter
311,Cheese
312,Baby Wipes
312,Cheese
312,Crisps
312,Milk
312,Nappies
312,Soft Drinks
312,Tomato Sauce
313,Baby Wipes
313,Milk
313,Nappies
314,Bread
314,Butter
314,Eggs
315,Baby Wipes
315,Bananas
315,Cheese
315,Coffee
315,Eggs
315,Nappies
315,Soft Drinks
316,Baby Wipes
316,Bread
316,Butter
316,Crisps
316,Eggs
316,Milk
316,Nappies
316,Soft Drinks
316,Tea
317,Coffee
317,Crisps
317,Eggs
317,Milk
317,Soft Drinks
317,Sugar
318,Coffee
318,Crisps
318,Pasta
318,Tomato Sauce
319,Baby Wipes
319,Nappies
319,Tomato Sauce
320,Baby Wipes
320,Bananas
320,Butter
320,Cheese
320,Milk
320,Nappies
320,Soft Drinks
320,Tea
321,Crisps
321,Sugar
322,Bananas
322,Bread
322,Butter
322,Eggs
323,Butter
323,Cheese
323,Crisps
323,Milk
323,Tomato Sauce
324,Baby Wipes
324,Bread
324,Nappies
324,Soft Drinks
324,Tea
325,Bananas
325,Bread
325,Butter
325,Cheese
325,Soft Drinks
325,Sugar
326,Baby Wipes
326,Bananas
326,Cheese
326,Coffee
326,Pasta
326,Sugar
326,Tomato Sauce
327,Baby Wipes
327,Bread
327,Butter
327,Milk
327,Nappies
327,Sugar
328,Butter
328,Crisps
328,Eggs
328,Sugar
329,Bread
329,Pasta
329,Tomato Sauce
330,Bread
330,Butter
330,Coffee
330,Crisps
330,Milk
330,Soft Drinks
330,Sugar
330,Tea
331,Baby Wipes
331,Bread
331,Butter
331,Cheese
331,Crisps
331,Nappies
331,Soft Drinks
332,Bread
332,Butter
332,Eggs
333,Baby Wipes
333,Crisps
333,Eggs
333,Milk
333,Soft Drinks
334,Baby Wipes
334,Bananas
334,Coffee
334,Milk
334,Nappies
334,Pasta
334,Sugar
334,Tea
334,Tomato Sauce
335,Bananas
335,Cheese
335,Tea
336,Baby Wipes
336,Bread
336,Butter
336,Crisps
336,Soft Drinks
336,Sugar
336,Tomato Sauce
337,Bananas
337,Cheese
337,Crisps
338,Bread
338,Cheese
338,Coffee
338,Crisps
338,Pasta
338,Sugar
338,Tomato Sauce
339,Baby Wipes
339,Cheese
339,Crisps
339,Eggs
339,Nappies
339,Soft Drinks
340,Baby Wipes
340,Bananas
340,Coffee
340,Milk
340,Nappies
340,Tea
341,Baby Wipes
341,Bananas
341,Bread
341,Crisps
341,Pasta
341,Soft Drinks
341,Tomato Sauce
342,Bananas
342,Bread
342,Butter
342,Crisps
342,Soft Drinks
342,Sugar
342,Tomato Sauce
343,Cheese
343,Eggs
344,Bananas
344,Bread
344,Butter
344,Coffee
345,Baby Wipes
345,Bread
345,Coffee
345,Crisps
345,Nappies
345,Soft Drinks
345,Sugar
345,Tomato Sauce
346,Bread
346,Butter
346,Crisps
346,Soft Drinks
346,Sugar
347,Baby Wipes
347,Coffee
347,Nappies
347,Tea
348,Bread
348,Butter
348,Cheese
348,Eggs
348,Milk
348,Tea
349,Bananas
349,Bread
349,Butter
349,Cheese
349,Crisps
349,Milk
349,Pasta
349,Soft Drinks
349,Tea
349,Tomato Sauce
350,Baby Wipes
350,Bananas
350,Eggs
350,Milk
350,Tea
350,Tomato Sauce
351,Bread
351,Coffee
351,Milk
351,Sugar
351,Tomato Sauce
352,Coffee
352,Eggs
352,Pasta
352,Sugar
352,Tea
352,Tomato Sauce
353,Baby Wipes
353,Milk
353,Nappies
353,Pasta
353,Tea
353,Tomato Sauce
354,Baby Wipes
354,Nappies
354,Pasta
355,Butter
355,Coffee
355,Eggs
355,Sugar
356,Bread
356,Butter
356,Pasta
356,Tomato Sauce
357,Baby Wipes
357,Bananas
357,Soft Drinks
358,Crisps
358,Eggs
358,Pasta
358,Tomato Sauce
359,Crisps
359,Milk
360,Milk
360,Pasta
360,Sugar
360,Tea
360,Tomato Sauce
361,Baby Wipes
361,Cheese
361,Coffee
361,Nappies
361,Pasta
361,Tomato Sauce
362,Butter
362,Coffee
362,Crisps
362,Eggs
362,Soft Drinks
362,Sugar
362,Tea
363,Bananas
363,Bread
363,Butter
363,Coffee
363,Sugar
364,Bananas
364,Crisps
364,Milk
364,Pasta
364,Tea
364,Tomato Sauce
365,Baby Wipes
365,Crisps
365,Eggs
365,Nappies
365,Soft Drinks
365,Tea
366,Bread
366,Pasta
366,Tomato Sauce
367,Baby Wipes
367,Bananas
367,Bread
367,Nappies
367,Pasta
367,Tomato Sauce
368,Bananas
